Track Name;Artist Name;Album Name;Track Number;Track Duration (ms);Added At
Bleed It Out;Linkin Park;Minutes To Midnight (Explicit Version);4;166373;2018-08-20T20:07:13Z
Legend;The Score;Myths & Legends;1;189120;2018-08-20T20:07:13Z
Can't Stop;Red Hot Chili Peppers;By The Way (Deluxe Version);7;269000;2018-08-20T20:07:13Z
Back In Black;AC/DC;Back In Black;6;255493;2018-08-20T20:07:13Z
Take A Look Around;Limp Bizkit;Chocolate Starfish And The Hot Dog Flavored Water;10;321040;2018-08-20T20:07:13Z
The Kids Aren't Alright;The Offspring;Americana;5;179600;2018-08-20T20:07:13Z
Chop Suey!;System Of A Down;Toxicity;6;210240;2018-08-20T20:07:13Z
MANTRA;Bring Me The Horizon;MANTRA;1;233297;2018-08-28T09:56:59Z
Are You Gonna Be My Girl;Jet;Get Born;2;213800;2018-08-20T20:07:13Z
Highway;Bleeker;Erase You;1;201680;2018-08-20T20:07:13Z
What's My Age Again?;blink-182;Enema Of The State;5;148573;2018-08-20T20:07:13Z
Dance, Dance;Fall Out Boy;From Under The Cork Tree;3;180266;2018-08-20T20:07:13Z
Throne;Bring Me The Horizon;That's The Spirit;3;191520;2018-08-20T20:07:13Z
Lonely Boy;The Black Keys;El Camino;1;193653;2018-08-20T20:07:13Z
No One Knows;Queens of the Stone Age;Songs For The Deaf;2;278746;2018-08-20T20:07:13Z
Figure It Out;Royal Blood;Royal Blood;3;184053;2018-08-20T20:07:13Z
Gasoline;Audioslave;Audioslave;3;279333;2018-08-20T20:07:13Z
Th1rt3en or Nothing;Backyard Babies;Th1rt3en or Nothing;1;225146;2018-08-20T20:07:13Z
Help;Papa Roach;Crooked Teeth (Deluxe);7;214797;2018-08-20T20:07:13Z
American Idiot;Green Day;American Idiot;1;176346;2018-08-20T20:07:13Z
11:11 - Radio Edit;Dinosaur Pile-Up;11:11;2;198204;2018-08-20T20:07:13Z
Hated;Beartooth;Aggressive;2;211430;2018-08-20T20:07:13Z
Crawling In The Dark;Hoobastank;More Fast And Furious (Music From And Inspired By The Motion Picture);3;176093;2018-08-20T20:07:13Z
Fat Lip;Sum 41;All Killer, No Filler;4;178266;2018-08-20T20:07:13Z
Woman;Wolfmother;Wolfmother;3;176306;2018-08-20T20:07:13Z
Amsterdam;Nothing But Thieves;Broken Machine (Deluxe);2;272240;2018-08-20T20:07:13Z
Superstar;Twin Wild;My Heart;2;215924;2018-08-20T20:07:13Z
Guerrilla Radio;Rage Against The Machine;The Battle Of Los Angeles;2;206200;2018-08-20T20:07:13Z
Lights And Sounds;Yellowcard;Lights And Sounds;2;208186;2018-08-20T20:07:13Z
Pretty Handsome Awkward - Amended Version;The Used;Lies For The Liars;2;212840;2018-08-20T20:07:13Z
Reckless Tongue;Airways;Reckless Tongue;1;178795;2018-08-20T20:07:13Z
Curse the Weather;Royal Tusk;DealBreaker;2;223560;2018-08-20T20:07:13Z
Miss Murder;AFI;DECEMBERUNDERGROUND;3;206586;2018-08-20T20:07:13Z
I Need That Oooh;The Picturebooks;I Need That Oooh;1;221906;2018-08-20T20:07:13Z
Soundboy Killa;P.O.D.;Soundboy Killa;1;245186;2018-08-20T20:07:13Z
Adriatic;Pærish;Semi Finalists;2;177658;2018-08-20T20:07:13Z
Tick Tick Boom;The Hives;The Black and White album;1;205357;2018-08-20T20:07:13Z
Devil On My Shoulder;Billy Talent;Billy Talent III;1;229533;2018-08-20T20:07:13Z
Got the Life;Korn;Follow The Leader;3;225306;2018-08-20T20:07:13Z
Fisticuffs;Kids In Glass Houses;Smart Casual;1;175133;2018-08-20T20:07:13Z
The Party’s Over;Prophets Of Rage;The Party's Over;2;212091;2018-08-20T20:07:13Z
A Weak Ago;letlive.;If I'm The Devil...;5;191137;2018-08-20T20:07:13Z
Heart and Soul;Twin Atlantic;Great Divide;2;217160;2018-08-20T20:07:13Z
Something Better;Canterbury;Heavy In The Day;2;210893;2018-08-20T20:07:13Z
Everybody;DON BROCO;Everybody;1;202800;2018-08-20T20:07:13Z
Others;Grit;Shreds of Tales;2;211505;2018-08-20T20:07:13Z
Los Angeles;Sugarcult;Lights Out;3;237573;2018-08-20T20:07:13Z
Better Place;Saint Asonia;Saint Asonia (European Edition);1;215466;2018-08-20T20:07:13Z
Ghost in the Mirror;Mallory Knox;Asymmetry (Deluxe);1;216160;2018-08-20T20:07:13Z
The Way Things Are;Shortie;Without A Promise;6;175973;2018-08-20T20:07:13Z
Feel the Burn;Elm Tree Circle;Feel the Burn;1;172458;2018-08-20T20:07:13Z